Date,GSCPI
31-Jan-1998,-1.0801743441910148
28-Feb-1998,-0.44921188446618443
31-Mar-1998,-0.07297260957142525
30-Apr-1998,-0.1316229150307007
31-May-1998,-0.43266379227989105
30-Jun-1998,-0.7438212685835853
31-Jul-1998,-0.9194488817007067
31-Aug-1998,-0.8822975675333233
30-Sep-1998,-0.8880969192405238
31-Oct-1998,-0.6651382732881204
30-Nov-1998,-0.8325806478711845
31-Dec-1998,-0.5785166788106963
31-Jan-1999,-0.2509722959686418
28-Feb-1999,0.02942045047248848
31-Mar-1999,-0.2568677311223184
30-Apr-1999,-0.20652431454875173
31-May-1999,-0.33670262472958257
30-Jun-1999,-0.35781117597802997
31-Jul-1999,-0.6035048024843903
31-Aug-1999,-0.4417312390411977
30-Sep-1999,-0.3799198193965861
31-Oct-1999,-0.11993190849221927
30-Nov-1999,-0.16314768896132922
31-Dec-1999,-0.19570663295415058
31-Jan-2000,-0.5990433379959423
29-Feb-2000,-0.40247947653658217
31-Mar-2000,-0.28132147658793627
30-Apr-2000,0.13818934159756716
31-May-2000,0.2885578592167578
30-Jun-2000,0.04750598342076387
31-Jul-2000,-0.002723680212623402
31-Aug-2000,0.09433347698414603
30-Sep-2000,0.05465612951731798
31-Oct-2000,-0.4963947717911535
30-Nov-2000,-0.7093323378499493
31-Dec-2000,-0.89723050490437
31-Jan-2001,-0.8860772411920437
28-Feb-2001,-0.7500598474688156
31-Mar-2001,-0.5589425611509469
30-Apr-2001,-0.9609684764998587
31-May-2001,-1.079431298207189
30-Jun-2001,-0.661882165941394
31-Jul-2001,-0.7772922424471422
31-Aug-2001,-0.7378106855894566
30-Sep-2001,-0.6343206183289793
31-Oct-2001,-1.1724562189878882
30-Nov-2001,-1.3877136108629218
31-Dec-2001,-1.1139700485045199
31-Jan-2002,-0.8642508710512398
28-Feb-2002,-0.4293717264390211
31-Mar-2002,-0.40642882934230523
30-Apr-2002,-0.5551316018770512
31-May-2002,-0.27661898094687365
30-Jun-2002,-0.5982945693619562
31-Jul-2002,-0.9174148402445522
31-Aug-2002,-1.0582181228335412
30-Sep-2002,-1.1092187839697445
31-Oct-2002,-1.208862066981245
30-Nov-2002,-0.7046464729282308
31-Dec-2002,-0.6611588194069623
31-Jan-2003,-0.5990460297355258
28-Feb-2003,-0.27908676311199937
31-Mar-2003,-0.3049815441238394
30-Apr-2003,-0.5424718114045904
31-May-2003,-0.18838479159117216
30-Jun-2003,-0.09897936152094426
31-Jul-2003,0.01625817396108852
31-Aug-2003,-0.05548461418454694
30-Sep-2003,0.07062172080498727
31-Oct-2003,-0.25640889474795525
30-Nov-2003,-0.40818015426205023
31-Dec-2003,-0.36415411720144025
31-Jan-2004,-0.5001911535359672
29-Feb-2004,-0.37325971042094785
31-Mar-2004,-0.012665518042134224
30-Apr-2004,0.40667129445137506
31-May-2004,0.3501356910260303
30-Jun-2004,0.4148887209446629
31-Jul-2004,-0.4506936728012394
31-Aug-2004,0.07303691241393831
30-Sep-2004,-0.00923827448621521
31-Oct-2004,-0.5978794568353638
30-Nov-2004,-0.04321351754786928
31-Dec-2004,0.11243015261092254
31-Jan-2005,-0.09407789197875473
28-Feb-2005,-0.11474814723191852
31-Mar-2005,-0.2606078045052712
30-Apr-2005,-1.296338067971846
31-May-2005,-0.9613126793700717
30-Jun-2005,-0.9211166290253815
31-Jul-2005,-0.8615731992024146
31-Aug-2005,-0.4767909287638807
30-Sep-2005,0.08092886123813715
31-Oct-2005,-0.07930364895059057
30-Nov-2005,-0.6314043803620554
31-Dec-2005,-0.6877524808626552
31-Jan-2006,-0.35760326492465666
28-Feb-2006,-0.7324194530347105
31-Mar-2006,-0.3875929619569301
30-Apr-2006,0.10073425420730829
31-May-2006,0.10609740613501945
30-Jun-2006,0.16157921215697804
31-Jul-2006,-0.0934780008445448
31-Aug-2006,0.06408704962945103
30-Sep-2006,-0.6285683028879059
31-Oct-2006,-0.49892971970319355
30-Nov-2006,-0.22088785749188994
31-Dec-2006,-0.45072271383643026
31-Jan-2007,-0.8628088507570438
28-Feb-2007,-0.7123797930450567
31-Mar-2007,-0.5834437124779568
30-Apr-2007,-0.8122199615005586
31-May-2007,-0.40906097193552293
30-Jun-2007,-0.36716572879142223
31-Jul-2007,-0.4241537973350001
31-Aug-2007,-0.09945190033923956
30-Sep-2007,-0.037965292457513775
31-Oct-2007,-0.6055500691085458
30-Nov-2007,-0.4820003063743478
31-Dec-2007,-0.1439513886545719
31-Jan-2008,-0.3651548201963319
29-Feb-2008,0.4563724967352392
31-Mar-2008,0.15398487174061407
30-Apr-2008,0.13916717995309644
31-May-2008,-0.1133721581719589
30-Jun-2008,0.27723528809516257
31-Jul-2008,1.0020475615538682
31-Aug-2008,0.282512511298849
30-Sep-2008,-0.5259853356140806
31-Oct-2008,-0.9751795470103671
30-Nov-2008,-1.5118118150421447
31-Dec-2008,-0.6854617646104956
31-Jan-2009,-0.38579065994776424
28-Feb-2009,-0.41945868494539024
31-Mar-2009,0.20382833963917543
30-Apr-2009,0.8664588478546588
31-May-2009,0.35601995689366883
30-Jun-2009,-0.4873037649907858
31-Jul-2009,-0.7257649109456428
31-Aug-2009,-1.1052940971968737
30-Sep-2009,-0.48366903181839555
31-Oct-2009,-0.4505995344496017
30-Nov-2009,-0.7862833199872907
31-Dec-2009,-0.614426399723864
31-Jan-2010,-0.3242082751656048
28-Feb-2010,-0.1593685195048449
31-Mar-2010,0.3545101445585578
30-Apr-2010,0.2792868107838937
31-May-2010,0.42134496267490357
30-Jun-2010,-0.04433621429642694
